date,day,elapsed_seconds,solved,checked,revealed,streak_eligible,solve_date,first_opened_date
2019-09-25,Wed,2759,1,1,0,0,2019-09-26,2019-09-24
2019-09-26,Thu,3404,1,1,0,0,2019-10-03,2019-09-26
2019-09-27,Fri,4410,1,1,0,0,2019-09-29,2019-09-28
2019-09-28,Sat,1923,1,1,0,0,2019-10-02,2019-09-29
2019-09-30,Mon,887,1,0,0,0,2019-10-01,2019-10-01
2019-10-01,Tue,1639,1,0,0,1,2019-10-01,2019-10-01
2019-10-02,Wed,4565,1,0,0,0,2019-10-03,2019-10-02
2019-10-03,Thu,2568,1,0,0,1,2019-10-03,2019-10-03
2019-10-04,Fri,3580,1,1,0,0,2019-10-04,2019-10-03
2019-10-05,Sat,1953,0,1,0,0,,2019-10-04
2019-10-07,Mon,678,1,0,0,1,2019-10-07,2019-10-07
2019-10-08,Tue,975,1,0,0,1,2019-10-07,2019-10-07
2019-10-09,Wed,1779,0,1,0,0,,2019-10-09
2019-10-10,Thu,6231,1,1,0,0,2019-10-10,2019-10-10
2019-10-11,Fri,4109,0,1,0,0,,2019-10-10
2019-10-12,Sat,2904,0,1,0,0,,2019-10-13
2019-10-14,Mon,953,1,1,0,0,2019-10-14,2019-10-14
2019-10-15,Tue,2039,1,1,0,0,2019-10-15,2019-10-14
2019-10-16,Wed,2994,1,0,0,1,2019-10-16,2019-10-16
2019-10-17,Thu,5869,1,1,0,0,2019-10-17,2019-10-16
2019-10-18,Fri,1535,0,1,0,0,,2019-10-18
2019-10-19,Sat,487,0,0,0,0,,2019-10-19
2019-10-21,Mon,715,1,0,0,0,2019-10-25,2019-10-22
2019-10-23,Wed,2534,1,1,0,0,2019-10-27,2019-10-25
2019-10-24,Thu,3290,0,1,0,0,,2019-10-27
2019-10-25,Fri,3716,0,1,0,0,,2019-10-25
2019-10-29,Tue,1580,0,1,0,0,,2019-10-30
2019-10-30,Wed,1560,1,1,0,0,2019-10-30,2019-10-30
2019-10-31,Thu,2331,1,0,0,1,2019-10-31,2019-10-31
2019-11-01,Fri,4105,1,1,0,0,2019-11-02,2019-11-01
2019-11-02,Sat,3339,1,1,0,0,2019-11-04,2019-11-02
2019-11-04,Mon,561,1,0,0,1,2019-11-04,2019-11-04
2019-11-05,Tue,2264,0,1,0,0,,2019-11-05
2019-11-06,Wed,1557,1,0,0,0,2019-11-07,2019-11-05
2019-11-07,Thu,1675,0,1,0,0,,2019-11-07
2019-11-08,Fri,3502,0,1,0,0,,2019-11-08
2019-11-13,Wed,1460,0,0,0,0,,2019-11-18
2019-11-14,Thu,3359,0,1,0,0,,2019-11-17
2019-11-20,Wed,1246,0,0,0,0,,2019-11-20
2019-11-21,Thu,2949,1,1,0,0,2019-11-23,2019-11-22
2019-11-22,Fri,1327,0,1,0,0,,2019-11-23
2019-11-27,Wed,1510,0,1,0,0,,2019-11-27
2019-11-28,Thu,1480,0,1,0,0,,2019-12-02
2019-11-29,Fri,1287,0,1,0,0,,2019-12-03
2019-12-04,Wed,2109,1,1,0,0,2019-12-07,2019-12-04
2019-12-05,Thu,1711,0,1,0,0,,2019-12-08
2019-12-11,Wed,1828,0,1,0,0,,2019-12-11
2019-12-12,Thu,2903,1,1,1,0,2019-12-14,2019-12-13
